upstream_camera,downstream_camera,lag_minutes,correlation,samples
2701,2704,5,0.533852160467502,1477
2701,2704,10,0.5256188246711353,1476
2701,2704,15,0.5094220311690033,1475
2701,2704,20,0.5051414813981866,1474
2701,2704,25,0.5031302786408071,1473
2701,2704,30,0.48062775198041957,1472
2701,2704,35,0.4700557652638888,1471
2701,2704,40,0.4558841094929018,1470
2701,2704,45,0.44398224143772813,1469
2701,2704,50,0.438913080093031,1468
2701,2704,55,0.42300537613717165,1467
2701,2704,60,0.41522762921570244,1466
2702,2704,5,0.4994275443945447,1477
2702,2704,10,0.4919537704322971,1476
2702,2704,15,0.4873676804986405,1475
2702,2704,20,0.4839360109348749,1474
2702,2704,25,0.4741334246627809,1473
2702,2704,30,0.45795319414343616,1472
2702,2704,35,0.45566660536423137,1471
2702,2704,40,0.45511722492055495,1470
2702,2704,45,0.45630689315359846,1469
2702,2704,50,0.4482176881633457,1468
2702,2704,55,0.437802050950135,1467
2702,2704,60,0.4263928613766779,1466
2706,2704,5,0.592131182175099,1477
2706,2704,10,0.5820309593061772,1476
2706,2704,15,0.5775516799038163,1475
2706,2704,20,0.5653664661927752,1474
2706,2704,25,0.5602716827807247,1473
2706,2704,30,0.5539813607277212,1472
2706,2704,35,0.5453050520682006,1471
2706,2704,40,0.5395841876903684,1470
2706,2704,45,0.5290953600571625,1469
2706,2704,50,0.5260410889771849,1468
2706,2704,55,0.5176276636658568,1467
2706,2704,60,0.5056348009915175,1466
