timestamp,total_vehicles_2701,total_vehicles_2702,total_vehicles_2704,total_vehicles_2706,vehicles_per_mpx_2701,vehicles_per_mpx_2702,vehicles_per_mpx_2704,vehicles_per_mpx_2706,cluster_2701,cluster_2702,cluster_2704,cluster_2706,missing_2701,missing_2702,missing_2704,missing_2706
2025-10-15 05:25:00,8.0,7.0,4.0,0.0,0.0445,0.0335,0.0115,0.0,1.0,1.0,1.0,1.0,0,0,0,0
2025-10-15 05:30:00,14.0,10.0,3.0,4.0,0.0789,0.0287,0.0639,0.0718,1.0,1.0,1.0,1.0,0,0,0,0
2025-10-15 05:35:00,13.0,9.0,2.0,1.0,0.1015,0.046,0.0035,0.0049,1.0,1.0,1.0,1.0,0,0,0,0
2025-10-15 05:40:00,15.0,7.0,2.0,3.0,0.0452,0.027,0.0029,0.0605,1.0,1.0,1.0,1.0,0,0,0,0
2025-10-15 05:45:00,21.0,12.0,2.0,0.0,0.0855,0.0685,0.0017,0.0,1.0,1.0,1.0,1.0,0,0,0,0
2025-10-15 05:50:00,9.0,18.0,1.0,2.0,0.0256,0.0774,0.065,0.0044,1.0,1.0,1.0,1.0,0,0,0,0
2025-10-15 05:55:00,11.0,10.0,0.0,2.0,0.0539,0.0483,0.0,0.021,1.0,1.0,1.0,1.0,0,0,0,0
2025-10-15 06:00:00,22.0,10.0,4.0,0.0,0.0934,0.0276,0.0082,0.0,1.0,1.0,1.0,1.0,0,0,0,0
2025-10-15 06:05:00,25.0,8.0,2.0,1.0,0.1467,0.015,0.0077,0.005,1.0,1.0,1.0,1.0,0,0,0,0
2025-10-15 06:10:00,20.0,7.0,1.0,0.0,0.1393,0.0127,0.0009,0.0,1.0,1.0,1.0,1.0,0,0,0,0
2025-10-15 06:15:00,28.0,17.0,3.0,0.0,0.211,0.0712,0.0105,0.0,0.0,1.0,1.0,1.0,0,0,0,0
2025-10-15 06:20:00,20.0,12.0,2.0,0.0,0.1538,0.0506,0.0029,0.0,1.0,1.0,1.0,1.0,0,0,0,0
2025-10-15 06:25:00,26.0,10.0,0.0,11.0,0.1067,0.04,0.0,0.1361,1.0,1.0,1.0,1.0,0,0,0,0
2025-10-15 06:30:00,33.0,9.0,1.0,2.0,0.1995,0.0548,0.0022,0.0067,0.0,1.0,1.0,1.0,0,0,0,0
2025-10-15 06:35:00,45.0,14.0,1.0,22.0,0.2746,0.0261,0.0025,0.1972,0.0,1.0,1.0,1.0,0,0,0,0
2025-10-15 06:40:00,46.0,19.0,1.0,11.0,0.2216,0.0505,0.0001,0.0884,0.0,1.0,1.0,1.0,0,0,0,0
2025-10-15 06:45:00,36.0,20.0,1.0,18.0,0.2338,0.0576,0.0008,0.0749,0.0,1.0,1.0,1.0,0,0,0,0
