timestamp,cluster_2701,cluster_2702,cluster_2704,cluster_2706,total_vehicles_2701,total_vehicles_2702,total_vehicles_2704,total_vehicles_2706,vehicles_per_mpx_2701,vehicles_per_mpx_2702,vehicles_per_mpx_2704,vehicles_per_mpx_2706
2025-10-15 06:04:00,1.0,1.0,1.0,1.0,25.0,8.0,2.0,1.0,0.1467,0.015,0.0077,0.005
2025-10-15 06:44:00,0.0,1.0,1.0,1.0,36.0,20.0,1.0,18.0,0.2338,0.0576,0.0008,0.0749
2025-10-15 07:04:00,0.0,1.0,1.0,0.0,44.0,20.0,3.0,26.0,0.3297,0.0505,0.0348,0.2032
2025-10-15 07:44:00,0.0,0.0,1.0,0.0,31.0,39.0,7.0,30.0,0.2619,0.1312,0.0111,0.2346
2025-10-15 21:39:00,3.0,0.0,3.0,3.0,18.0,45.0,3.0,9.0,0.1183,0.0982,0.0265,0.0322
2025-10-15 21:44:00,3.0,0.0,3.0,3.0,12.0,36.0,5.0,1.0,0.0264,0.0944,0.0812,0.0076
2025-10-15 21:49:00,3.0,0.0,3.0,3.0,18.0,39.0,3.0,5.0,0.0702,0.0995,0.0495,0.0568
2025-10-15 22:14:00,0.0,0.0,3.0,3.0,38.0,36.0,3.0,6.0,0.1796,0.1048,0.0068,0.0507
2025-10-15 22:54:00,0.0,0.0,3.0,3.0,47.0,42.0,3.0,3.0,0.1404,0.0821,0.0408,0.0535
2025-10-15 23:14:00,0.0,3.0,3.0,3.0,49.0,26.0,3.0,8.0,0.1669,0.0677,0.0296,0.0758
2025-10-15 23:29:00,3.0,0.0,3.0,3.0,6.0,38.0,4.0,4.0,0.0243,0.0848,0.0149,0.019
2025-10-15 23:39:00,3.0,0.0,3.0,3.0,10.0,42.0,3.0,2.0,0.0552,0.1011,0.0723,0.056
2025-10-15 23:49:00,3.0,3.0,3.0,3.0,5.0,34.0,6.0,2.0,0.0138,0.0835,0.049,0.0413
2025-10-15 23:54:00,3.0,0.0,3.0,3.0,0.0,36.0,2.0,0.0,0.0,0.0954,0.0097,0.0
2025-10-16 04:54:00,1.0,1.0,1.0,1.0,12.0,1.0,1.0,2.0,0.1051,0.0017,0.0007,0.0486
2025-10-16 04:59:00,1.0,1.0,1.0,1.0,11.0,5.0,0.0,0.0,0.0523,0.0336,0.0,0.0
2025-10-16 05:04:00,1.0,1.0,1.0,1.0,9.0,10.0,5.0,1.0,0.0319,0.051,0.0312,0.0301
2025-10-16 05:09:00,1.0,1.0,1.0,1.0,9.0,5.0,1.0,2.0,0.0669,0.0135,0.0007,0.0304
2025-10-16 05:14:00,1.0,1.0,1.0,1.0,2.0,9.0,3.0,6.0,0.005,0.0311,0.024,0.0494
2025-10-16 05:19:00,1.0,1.0,1.0,1.0,12.0,9.0,2.0,2.0,0.0449,0.0287,0.0225,0.0125
2025-10-16 05:24:00,1.0,1.0,1.0,1.0,14.0,7.0,1.0,0.0,0.0501,0.0223,0.0006,0.0
2025-10-16 05:29:00,1.0,1.0,1.0,1.0,19.0,17.0,0.0,1.0,0.1069,0.0572,0.0,0.0168
2025-10-16 05:34:00,0.0,1.0,1.0,1.0,18.0,8.0,2.0,1.0,0.1838,0.0163,0.0015,0.0012
2025-10-16 05:39:00,0.0,1.0,1.0,1.0,25.0,16.0,1.0,2.0,0.1593,0.0664,0.0276,0.0146
2025-10-16 05:49:00,0.0,1.0,1.0,1.0,31.0,14.0,5.0,3.0,0.3053,0.0459,0.0522,0.0536
2025-10-16 05:59:00,0.0,1.0,1.0,1.0,27.0,15.0,0.0,3.0,0.1866,0.0569,0.0,0.0474
2025-10-16 06:09:00,0.0,1.0,1.0,1.0,25.0,9.0,1.0,0.0,0.1708,0.0543,0.0798,0.0
2025-10-16 06:14:00,0.0,1.0,1.0,1.0,36.0,10.0,3.0,5.0,0.2005,0.0547,0.035,0.0437
2025-10-16 06:24:00,0.0,1.0,1.0,1.0,23.0,9.0,7.0,3.0,0.225,0.0308,0.151,0.0261
2025-10-16 06:29:00,0.0,1.0,1.0,1.0,25.0,17.0,5.0,10.0,0.2349,0.0621,0.0298,0.0692
2025-10-16 06:34:00,0.0,1.0,1.0,1.0,38.0,15.0,3.0,5.0,0.2455,0.0309,0.0035,0.0308
2025-10-16 06:39:00,0.0,1.0,1.0,0.0,33.0,14.0,2.0,24.0,0.2779,0.0567,0.0083,0.166
2025-10-16 06:44:00,0.0,1.0,1.0,0.0,31.0,24.0,3.0,26.0,0.287,0.101,0.0007,0.1866
2025-10-16 06:49:00,0.0,1.0,1.0,1.0,40.0,23.0,3.0,24.0,0.429,0.0894,0.0038,0.0856
2025-10-16 06:54:00,0.0,1.0,1.0,0.0,54.0,15.0,3.0,27.0,0.372,0.0412,0.1061,0.1359
2025-10-16 06:59:00,0.0,1.0,1.0,0.0,44.0,13.0,1.0,24.0,0.3314,0.0257,0.0006,0.1772
2025-10-16 07:04:00,0.0,1.0,1.0,0.0,49.0,16.0,4.0,38.0,0.3434,0.0516,0.046,0.1341
2025-10-16 07:09:00,0.0,1.0,1.0,0.0,59.0,16.0,8.0,31.0,0.3634,0.0506,0.0626,0.1909
2025-10-16 07:14:00,0.0,1.0,1.0,1.0,53.0,18.0,7.0,26.0,0.4829,0.0547,0.0446,0.1158
2025-10-16 07:19:00,0.0,1.0,1.0,0.0,53.0,18.0,4.0,34.0,0.4611,0.0339,0.0401,0.2308
2025-10-16 07:24:00,0.0,1.0,1.0,1.0,49.0,11.0,8.0,25.0,0.3296,0.0344,0.2302,0.0762
2025-10-16 07:29:00,0.0,0.0,1.0,0.0,42.0,28.0,7.0,30.0,0.3402,0.1583,0.027,0.1103
2025-10-16 07:35:00,0.0,0.0,1.0,0.0,56.0,31.0,9.0,26.0,0.3528,0.1678,0.1036,0.1821
2025-10-16 07:39:00,0.0,0.0,1.0,0.0,54.0,29.0,9.0,46.0,0.3758,0.1103,0.0876,0.2099
2025-10-16 07:44:00,0.0,0.0,1.0,0.0,45.0,35.0,7.0,35.0,0.3198,0.1165,0.0473,0.1612
2025-10-16 07:49:00,0.0,0.0,1.0,0.0,50.0,30.0,2.0,31.0,0.3398,0.1156,0.0052,0.1487
2025-10-16 08:29:00,0.0,1.0,1.0,0.0,43.0,27.0,5.0,34.0,0.3668,0.0726,0.0212,0.185
2025-10-16 08:54:00,0.0,0.0,1.0,0.0,48.0,49.0,8.0,28.0,0.3164,0.1072,0.0215,0.2209
